               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047459,            0.015017,            0.023246,             0.85503,             0.70218,             0.74495,             0.47318,            0.030021,           0.0038163,           0.0060503,            0.070034,           0.0033295,           0.0033295
                   1,            0.031451,           0.0085554,           0.0065787,             0.95388,             0.77321,             0.87267,             0.62063,            0.024483,           0.0034513,           0.0038721,            0.037836,           0.0044641,           0.0044641
                   2,            0.023378,            0.007206,           0.0044189,             0.97459,             0.97165,             0.98661,             0.78864,            0.016455,           0.0030302,           0.0024716,            0.003437,           0.0033987,           0.0033987
